filename,llm_predicted,adapter_predicted,ground_truth,llm_error,adapter_error,adapter_improved
tomato548,4,4.7,2,2,2.7,false
tomato566,12,14.1,30,18,15.9,true
tomato553,2,2.4,3,1,0.6,true
tomato547,1,1.2,1,0,0.2,false
tomato201,3,3.5,5,2,1.5,true
tomato205,7,8.2,7,0,1.2,false
tomato203,0,0,1,1,1,false
tomato200,3,3.5,4,1,0.5,true
tomato20,3,3.5,9,6,5.5,true
tomato2,6,7.1,5,1,2.1,false
tomato202,5,5.9,7,2,1.1,true
tomato103,1,1.2,1,0,0.2,false
tomato164,4,4.7,12,8,7.3,true
tomato192,1,1.2,2,1,0.8,true
tomato146,4,4.7,7,3,2.3,true
tomato150,5,5.9,5,0,0.9,false
tomato0,7,8.2,13,6,4.8,true
tomato115,1,1.2,1,0,0.2,false
tomato154,4,4.7,3,1,1.7,false
tomato105,0,0,1,1,1,false
tomato1,0,0,4,4,4,false
tomato134,2,2.4,2,0,0.4,false
tomato153,3,3.5,3,0,0.5,false
tomato115,1,1.2,1,0,0.2,false
tomato144,7,8.2,10,3,1.8,true
tomato166,5,5.9,9,4,3.1,true
tomato102,5,5.9,5,0,0.9,false
tomato178,5,5.9,6,1,0.1,true
tomato16,2,2.4,6,4,3.6,true
tomato103,1,1.2,1,0,0.2,false
tomato104,3,3.5,3,0,0.5,false
tomato124,5,5.9,13,8,7.1,true
tomato19,2,2.4,1,1,1.4,false
tomato158,1,1.2,1,0,0.2,false
tomato180,3,3.5,3,0,0.5,false
tomato1,0,0,4,4,4,false
tomato149,15,17.6,10,5,7.6,false
tomato163,7,8.2,5,2,3.2,false
tomato0,7,8.2,13,6,4.8,true
tomato127,1,1.2,1,0,0.2,false
tomato128,3,3.5,3,0,0.5,false
tomato132,3,3.5,8,5,4.5,true
tomato159,1,1.2,1,0,0.2,false
tomato12,7,8.2,8,1,0.2,true
tomato184,15,17.6,11,4,6.6,false
tomato135,5,5.9,6,1,0.1,true
tomato160,7,8.2,3,4,5.2,false
tomato109,2,2.4,3,1,0.6,true
tomato189,2,2.4,2,0,0.4,false
tomato151,8,9.4,9,1,0.4,true
tomato18,7,8.2,8,1,0.2,true
tomato111,1,1.2,1,0,0.2,false
tomato11,25,29.4,37,12,7.6,true
tomato112,1,1.2,2,1,0.8,true
tomato126,15,17.6,30,15,12.4,true
tomato172,15,17.6,22,7,4.4,true
tomato168,1,1.2,2,1,0.8,true
tomato157,2,2.4,2,0,0.4,false
tomato139,4,4.7,3,1,1.7,false
tomato10,1,1.2,1,0,0.2,false
tomato145,7,8.2,10,3,1.8,true
tomato107,2,2.4,3,1,0.6,true
tomato169,3,3.5,1,2,2.5,false
tomato17,4,4.7,2,2,2.7,false
tomato187,2,2.4,2,0,0.4,false
tomato161,6,7.1,5,1,2.1,false
tomato175,1,1.2,2,1,0.8,true
tomato13,2,2.4,6,4,3.6,true
tomato186,2,2.4,2,0,0.4,false
tomato148,2,2.4,2,0,0.4,false
tomato162,6,7.1,5,1,2.1,false
